City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,51.8,43,75,23.02,AR,1611604109
Yar-Sale,66.8333,70.8333,-20.42,87,100,15.05,RU,1611604110
Punta Arenas,-53.15,-70.9167,51.8,46,75,24.16,CL,1611604110
Hithadhoo,-0.6,73.0833,81.63,73,67,3.74,MV,1611604110
Binzhou,37.3667,118.0167,31.59,93,90,2.86,CN,1611604111
Port Macquarie,-31.4333,152.9167,64.99,93,8,10.71,AU,1611604061
Rikitea,-23.1203,-134.9692,79.54,74,8,15.52,PF,1611604111
Bubaque,11.2833,-15.8333,78.82,69,0,13.65,GW,1611604111
Yellowknife,62.456,-114.3525,-20.99,69,20,9.22,CA,1611604111
Karacaköy,41.4029,28.3834,52.0,81,0,12.66,TR,1611604112
Bredasdorp,-34.5322,20.0403,66.2,82,0,4.61,ZA,1611604112
Araouane,18.9048,-3.5265,72.54,15,100,10.0,ML,1611604112
Tuatapere,-46.1333,167.6833,64.99,71,92,5.99,NZ,1611604112
Mataura,-46.1927,168.8643,64.99,71,100,5.99,NZ,1611604112
Chokurdakh,70.6333,147.9167,-38.13,80,99,7.31,RU,1611604112
Castro,-24.7911,-50.0119,70.34,90,100,4.9,BR,1611604113
Puerto Ayora,-0.7393,-90.3518,86.0,62,40,19.57,EC,1611604113
Busselton,-33.65,115.3333,55.0,87,0,7.29,AU,1611604113
Rochegda,62.8,43.25,34.34,96,100,8.01,RU,1611604113
Mar del Plata,-38.0023,-57.5575,87.8,58,40,13.8,AR,1611604114
Ponta do Sol,32.6667,-17.1,62.01,76,49,1.01,PT,1611604114
Pierre,44.3683,-100.351,19.99,79,90,12.66,US,1611604114
Griffith,41.5284,-87.4237,35.01,75,90,14.97,US,1611604088
Torbay,47.6666,-52.7314,28.99,86,90,11.5,CA,1611604114
Dafeng,23.4517,108.5881,58.3,70,100,5.39,CN,1611604114
Hobart,-42.8794,147.3294,62.01,94,75,6.91,AU,1611604115
Narsaq,60.9167,-46.05,28.4,29,20,26.46,GL,1611604115
Kingston,17.997,-76.7936,86.0,70,20,20.71,JM,1611603898
Correntina,-13.3433,-44.6367,86.68,45,21,5.32,BR,1611604115
Belyy Yar,53.6039,91.3903,-31.0,75,56,4.47,RU,1611604115
Gharghoda,22.1667,83.35,61.11,50,0,4.88,IN,1611604116
Broome,42.2506,-75.833,28.99,58,1,1.66,US,1611604116
